id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
1539;動;4;ドウ、うご-く、うご-かす;;doo;"motion; change; confusion";"ugo(ku), ugo(kasu)";"move, stir, shift, shake, swing; operate, run, go, work; be touched, be influenced, waver, fluctuate, vary, change, be transferred. set in motion, inspire, rouse, influence; mobilize; deny "
1540;堂;4;ドウ;;doo;"temple; shrine; hall; reception room; firm; state chamber. shop, store";-;-
1541;童;2;ドウ、わらべ;わらわ;doo;child;warabe;child
1542;道;4;ドウ、[トウ]、みち;い;"doo, [too]";"district, province, prefecture; road  ";michi;"road, path, lane, way, street, highway, route; journey; distance; course, way, means; duty, morality, moral doctrine; teachings; specialty; an art; reason, justice "
1543;働;3;ドウ、はたら-く;;doo;"work, labor; do, act, commit, practice; work on; come into play; be conjugated; reduce the price ";hatara(ku);"work, labor; do, act, commit, practice; work on; come into play; be conjugated; reduce the price "
1544;銅;2;ドウ;;doo;copper;-;-
1545;導;2;ドウ、みちび-く;;doo;leading;michibi(ku);"guide, lead, conduct, usher"
1546;瞳;1;ドウ、ひとみ;トウ;doo;"pupil of the eye";hitomi;"pupil of the eye"
1547;峠;1;とうげ;;-;-;tooge;"mountain pass; crisis, crest, climax"
1548;匿;1;トク;かく;toku;"shelter, shield, hide";-;-
1549;特;4;トク;;toku;special;-;-
1550;得;3;トク、え-る、う-る;;toku;"profit, advantage, benefit";"e(ru), u(ru)";"get, acquire, acquire, find, earn, win, gain, receive; can, be able to, may; commit (sin) "
1551;督;1;トク;;toku;"command, lead, supervise; urge";-;-
1552;徳;1;トク;;toku;"virtue, goodness; good; gain; power to command respect";-;-
1553;篤;1;トク;あつ;toku;"kind, cordial, fervent, affectionate; serious (illness)";-;-
1554;毒;2;ドク;;doku;"poison; virus, venom, germ, toxin; harm, injury; malice, spite";-;-
1555;独;1;ドク、ひと-り;;doku;alone;hito(ri);"alone, on one's own"
1556;読;5;ドク、トク、[トウ]、よ-む;と、ど;"doku, toku, [too]";reading;yo(mu);"read, peruse; understand, read (one's heart), guess, divine "
1557;栃;0;[とち];;-;-;[tochi];"horse chestnut"
1558;凸;1;トツ;;totsu;"projecting, beetle brow";-;-
1559;突;3;トツ、つ-く;;totsu;"protruding, thrusting";tsu(ku);"thrust, pierce, spear, stab, prick; gore; lunge at; push, poke; strike (a bell); attack; strike (at the heart); brave (a storm); be pungent; strike against; (words) rush (to one's lips) "
1560;届;2;とど-ける、とど-く;;-;-;"todo(keru), todo(ku)";"reach, arrive, be received; be attentive, be realized. report, notice; forwarding, delivery "
1561;屯;1;トン;たむろ;ton;"police station; camp";-;-
1562;豚;1;トン、ぶた;;ton;hog;buta;"pig, hog, swine"
1563;頓;0;トン;とみ;ton;"suddenly, in a hurry, immediately";-;-
1564;貪;0;ドン、むさぼ-る;;don;coveting;musabo(ru);"covet, indulge in"
1565;鈍;2;ドン、にぶ-い、にぶ-る;;don;"dullness, slowness, foolishness";"nibu(i), nibu(ru)";"dull, slow; blunt (tool); dim (light); thick (voice). become dull, weaken "
1566;曇;2;ドン、くも-る;;don;"cloud up; fog up, become dim, be blurred; be gloomy ";kumo(ru);"cloud up; fog up, become dim, be blurred; be gloomy "
1567;丼;0;どんぶり、[どん];;-;-;"donburi, [don]";"bowl; bowl of food"
1568;那;1;ナ;;na;what;-;-
1569;奈;1;ナ;;na;what;-;-
1570;内;3;ナイ、[ダイ]、うち;ノウ、い;"nai, [dai]";"inside, interior, within, between, among. within, within the scope of ";uchi;"inside, interior; house, home; within; between, among, out of; mind; myself. inner "
1571;梨;1;なし;リ;-;-;nashi;"pear; pear tree"
1572;謎;0;なぞ;;-;-;nazo;"riddle, puzzle, enigma; hint, tip"
1573;鍋;0;なべ;;-;-;nabe;"pan, pot, kettle"
1574;南;5;ナン、[ナ]、みなみ;;"nan, [na]";south;minami;south
1575;軟;2;ナン、やわ-らか、やわ-らかい;;nan;soft;"yawa(raka), yawa(rakai)";soft
